claim_id,subsystem,address,working_symbol,claim,source_id,evidence_locator,confidence,confirmed_by_observation,implementation_status,test_target,open_question_id,binding_scope,engine_obligation
RNG-001,rng,00454C70,random_below_ebx_candidate,"Exclusive bound is supplied in EBX. Bound zero returns zero without advancing CRT state. Other bounds consume CRT rand; bounds above 30000 append rand()%10 decimal digits while dividing a copy of the bound by 10, then apply modulo to the original bound. Modulo bias and variable call count are legacy behaviour.",EXP-CI01;EXP-R4A-001,00454C70 complete body and direct _rand calls,proven,no,oracle/core implemented; exact vector fixture passes; combat integration pending,RNG-LEGACY-001,,legacy_behavior,"Preserve zero-bound non-advance, decimal extension, uint32 accumulation, modulo bias, and exact CRT call count."
RNG-002,rng,00454E80,weighted_roll_candidate,"Weights are summed, 00454C70 selects the cumulative interval, and optional removal zeroes every entry whose associated value equals the selected value. The roller consumes the same CRT sequence as other ordinary random callers.",EXP-CI01;EXP-R4A-001,00454E80 body; call to 00454C70,proven,no,oracle/core implemented; weighted fixture passes; all-zero case open,RNG-WEIGHT-001,6b,legacy_behavior,Select by the recovered cumulative intervals and remove every duplicate selected value; do not invent all-zero behaviour.
RNG-003,rng,00404B0B,crt_srand,"The function calls __getptd and writes the supplied seed to _ptiddata._holdrand at +0x14. RNG state is therefore Microsoft CRT thread-local state, not a Project EGO-style subsystem global.",EXP-R4B-001,00404B0B complete body and XREF list,proven,no,oracle/core implemented; raw seed vectors pass,RNG-STATE-001,,diagnostic_only,Match seed assignment and shared-sequence semantics; do not reproduce the physical CRT thread-data layout.
RNG-004,rng,0045EF60/0046EAE0/00479120/004AAE30/004AEA90,legacy_rng_reseed_epochs,"Recovered reseeds include startup time64()%10000, setup/map seed, map generation seed with zero replaced by 111, each strategic tick seeded by map_seed+strategic_turn, and two menu/transition calls using a 1..10000 cycling counter. A conditional battle-outcome XREF remains locally unresolved.",EXP-R2-001;EXP-R4B-001;EXP-STRATEGIC-TICK-001,srand callers and seed data flow,proven,no,map-generation and strategic-turn epochs implemented/tested; startup/setup/menu/battle persistence incomplete,RNG-SEED-001,4c,legacy_behavior,Apply recovered reseed epochs at their owning lifecycle boundaries; keep residual battle/save boundaries explicit.
RNG-005,rng,00454DC0/00454F80/00455050,contextual_weighted_selector_family,These alternate selector paths do not call CRT rand or 00454C70. They must not be modelled as independent advancing PRNG streams; their exact hidden-argument/context formulas remain only partially typed.,EXP-R4A-001,complete selector bodies and call graph,proven,no,shared-state boundary tested; contextual selector formulas not implemented,RNG-TOPOLOGY-001,,legacy_behavior,Do not replace contextual selector paths with independently advancing random streams.
PROG-001,progression,00432660,calculate_unit_level_from_experience_candidate,Ordinary-unit level is calculated from experience and capped at 30.,EXP-CI06,function body,proven,no,oracle:partial; core:partial,XP-LEVEL-001,,legacy_behavior,Reproduce experience thresholds and the level-30 cap.
PROG-002,progression,00432B60,choose_unit_level_upgrade_candidate,"Uses six candidates per static level row, prerequisites, prior-selection weighting and the legacy weighted roller.",EXP-CI06,function body and constructor caller,proven,no,oracle:partial; core:partial,LEVELUP-SELECT-001,6,legacy_behavior,"Preserve candidate order, prerequisites, weights, and shared legacy roller consumption."
PROG-003,progression,00433130,apply_unit_level_upgrade_candidate,Ordinary upgrade preserves absolute missing life; modifier 0x3E performs unit-definition replacement and level recalculation.,EXP-CI06,function body,proven,no,oracle:partial; core:partial,LEVELUP-APPLY-001,,legacy_behavior,Preserve missing-life semantics and transformation-specific replacement/recalculation order.
LAYOUT-001,layout,004331F0,construct_unit_instance_candidate,"EadorUnitInstancePartial is 0xA4 with 30 level-upgrade IDs, three attachment IDs and hero_state at +0xA0.",EXP-CI06,constructor and static-size checks,proven,n-a,header:schema14,LAYOUT-UNIT-001,,original_persistence,Use the offsets and size only when decoding or mirroring original-compatible unit instances; normalized objects need not share the layout.
MOD-001,modifiers,00432950,sum_unit_instance_modifiers_candidate,"Persistent instance contribution includes selected upgrades, attachments and personal hero context.",EXP-CI01,function body,proven,no,oracle:partial; core:partial,MOD-INSTANCE-001,7,legacy_behavior,Include every recovered persistent provider in the instance-modifier contribution without exposing source table indexes to rules.
